experiment_id,slice_type,slice_value,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage4_history_40s_dynamic,missing_slice,complete_dynamic,153554,3.7766348863552595,4.784836152077743,0.14529122821394935,0.40504931982769693,0.4098856032008688,-0.6205520396097398,0.6201959821244812
stage4_history_40s_dynamic,missing_slice,missing_dynamic,14661,4.917323321000379,5.777840349554958,0.05839940113400388,0.2717669008837994,0.2240481999609074,-0.41065669334582827,0.6126999028223533
stage4_history_40s_dynamic,near_update_event,0,155131,3.853592788146256,4.856722502144147,0.15738922552655765,0.41344229137742483,0.4173652803227824,-0.5194662555009719,0.6262241558750188
stage4_history_40s_dynamic,near_update_event,1,13084,4.142354611026078,5.141003096648111,-0.05259011596466734,0.2906180574122686,0.28140710711657846,-1.583886119631298,0.5403231113859037
stage4_history_40s_dynamic,flat_interval,0,13084,4.142354611026078,5.141003096648111,-0.05259011596466734,0.2906180574122686,0.28140710711657846,-1.583886119631298,0.5403231113859037
stage4_history_40s_dynamic,flat_interval,1,155131,3.853592788146256,4.856722502144147,0.15738922552655765,0.41344229137742483,0.4173652803227824,-0.5194662555009719,0.6262241558750188
stage4_history_60s_dynamic,fms_bin,0-5,40584,3.9630249651924006,4.651059663852921,-11.018010759211652,0.25339095335326517,0.24851813196416334,3.9186687101785327,1.0750467455787218
stage4_history_60s_dynamic,fms_bin,5-10,57705,2.2257552505210887,2.6869978529388874,-3.5967886746985576,0.10022608088714399,0.09966415266761522,0.9277896826647977,0.33199112069609343
stage4_history_60s_dynamic,fms_bin,10-15,29806,3.601154640409952,4.267852676760205,-9.853137856525056,0.0318081752288104,0.01705188055470513,-3.515704123772111,0.39736446327172426
stage4_history_60s_dynamic,fms_bin,15-20,24230,8.724260173166678,9.095833015190035,-22.690173640367625,0.044897891300813716,0.0411160924285895,-8.724260173166678,0.6938912863582993
stage4_history_60s_dynamic,missing_slice,complete_dynamic,134866,3.87717906531008,4.913459977514673,0.0960147721494592,0.3505488723956322,0.3510781709016698,-0.6938823703847443,0.5957171546066854
stage4_history_60s_dynamic,missing_slice,missing_dynamic,17459,4.874151973450155,5.794269264770357,0.06885663906170758,0.3135815485215462,0.2363441679785577,-0.5741111617282505,0.6358947264956729
stage4_history_60s_dynamic,near_update_event,0,140078,3.9717424119342106,5.00527511042749,0.1112602849633001,0.3642307321284955,0.36564622337279173,-0.602389469387261,0.6055168044062093
stage4_history_60s_dynamic,near_update_event,1,12247,4.216846374430889,5.212590991040015,-0.0728565667758947,0.26173976527244536,0.24877671463138037,-1.5696116962597946,0.5409073957262732
stage4_history_60s_dynamic,flat_interval,0,12247,4.216846374430889,5.212590991040015,-0.0728565667758947,0.26173976527244536,0.24877671463138037,-1.5696116962597946,0.5409073957262732
stage4_history_60s_dynamic,flat_interval,1,140078,3.9717424119342106,5.00527511042749,0.1112602849633001,0.3642307321284955,0.36564622337279173,-0.602389469387261,0.6055168044062093
stage4_history_120s_dynamic,fms_bin,0-5,17677,5.4898299361648295,5.774104643570265,-19.0454630164987,0.2647108426567316,0.1877794117677976,5.485544694604974,1.167701228977663
