experiment_id,fold,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage4_static_cumulative_dose,4,38398,4.083422925423952,5.2482299484127,0.12311198548949087,0.48898627485962853,0.4960131181069607,-1.9014764074931771,0.7466180778018008
stage4_static_static_dose,0,38454,3.988270126017727,5.230670282928254,0.12626870713631078,0.5382858388834642,0.52748362926405,-2.222075230062377,0.7671345250794754
stage4_static_static_dose,1,38503,3.8954670342798123,4.92020422796225,0.20790878456891893,0.5864746384423141,0.545100499753654,1.0369025617737282,0.7082005769187695
stage4_static_static_dose,2,38361,3.3143879148325146,4.311305300609281,0.2300922085248971,0.5078924542631916,0.5852010288058571,0.2648607400630016,0.7048467255508536
stage4_static_static_dose,3,38503,3.1148450065747553,4.117100329353316,0.265104691648551,0.5400146906098947,0.5886632350860554,-0.1860052457423878,0.6939712049762625
stage4_static_static_dose,4,38398,3.8351278668078876,4.9739403357264855,0.2123748657711252,0.5644143291601676,0.5730399344636989,-1.7855146929355479,0.7391543100467712
stage4_static_static_dynamic,0,38454,3.816648420540818,5.082031250753733,0.17522049047045618,0.5510038475657514,0.5642516231551277,-1.9962374293252882,0.7148138906346965
stage4_static_static_dynamic,1,38503,4.014159567753946,4.83651587615217,0.23462517602678723,0.6562157267728271,0.6366337958050512,2.373635923996129,0.6901332459166138
stage4_static_static_dynamic,2,38361,3.2830456409972673,4.151022998682512,0.2862741314435383,0.5504394921598372,0.5755531751108983,0.09169699207815679,0.747072352677341
stage4_static_static_dynamic,3,38503,3.0979383390715056,4.058218702304443,0.28597491445746925,0.5526900151383838,0.5905719851925788,-0.1550348234281555,0.7178786956637557
stage4_static_static_dynamic,4,38398,3.596276190548691,4.708242505952723,0.2942740753990223,0.6191936183743391,0.6205918017164253,-1.673086779213725,0.7208972684117536
stage4_static_static_dynamic_dose,0,38454,3.7084817514070303,4.915148019153934,0.22849916125400027,0.5940069493061851,0.58718061116867,-1.9636220997530007,0.683635163971432
